,Class,Parent,Ancestor,Sibling
265,Indoor rower,['Sports equipment'],['Building'],"['Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Roller skates', 'Flying disc', 'Baseball bat', 'Baseball glove', 'Punching bag', 'Golf ball', 'Personal flotation device', 'Scoreboard', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Dumbbell', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet', 'Billiard table']"
266,Invertebrate,['Animal'],[],"['Bird', 'Mammal', 'Reptile', 'Fish', 'Shellfish']"
267,Food processor,['Kitchen appliance'],['Kitchenware'],"['Oven', 'Blender', 'Slow cooker', 'Refrigerator', 'Waffle iron', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Pressure cooker', 'Dishwasher']"
268,Bookcase,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Wine rack', 'Couch', 'Wardrobe', 'Nightstand', 'Bed', 'Filing cabinet', 'Table', 'Chest of drawers', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Bathroom cabinet', 'Closet']"
269,Refrigerator,"['Home appliance', 'Kitchen appliance']",['Kitchenware'],"['Washing machine', 'Toaster', 'Oven', 'Blender', 'Gas stove', 'Mechanical fan', 'Heater', 'Kettle', 'Hair dryer', 'Wood-burning stove', 'Humidifier', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Dishwasher', 'Sewing machine', 'Hand dryer', 'Ceiling fan', 'Slow cooker', 'Food processor', 'Waffle iron', 'Pressure cooker']"
270,Wood-burning stove,['Home appliance'],[],"['Washing machine', 'Toaster', 'Oven', 'Blender', 'Gas stove', 'Mechanical fan', 'Heater', 'Kettle', 'Hair dryer', 'Refrigerator', 'Humidifier', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Dishwasher', 'Sewing machine', 'Hand dryer', 'Ceiling fan']"
271,Punching bag,['Sports equipment'],['Building'],"['Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Roller skates', 'Flying disc', 'Baseball bat', 'Baseball glove', 'Golf ball', 'Personal flotation device', 'Scoreboard', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Dumbbell', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Indoor rower', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet', 'Billiard table']"
272,Common fig,['Fruit'],['Food'],"['Apple', 'Grape', 'Pear', 'Strawberry', 'Tomato', 'Lemon', 'Banana', 'Orange', 'Peach', 'Mango', 'Pineapple', 'Grapefruit', 'Pomegranate', 'Watermelon', 'Cantaloupe']"
273,Cocktail shaker,['Tableware'],['Kitchenware'],"['Chopsticks', 'Teapot', 'Mug', 'Coffee cup', 'Salt and pepper shakers', 'Mixing bowl', 'Saucer', 'Bottle', 'Bowl', 'Plate', 'Pitcher (Container)', 'Kitchen knife', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand']"
274,Jaguar (Animal),['Carnivore'],"['Mammal', 'Animal']","['Bear', 'Cat', 'Fox', 'Lynx', 'Red panda', 'Tiger', 'Lion', 'Dog', 'Leopard', 'Cheetah', 'Otter', 'Raccoon']"
275,Golf ball,['Sports equipment'],['Building'],"['Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Roller skates', 'Flying disc', 'Baseball bat', 'Baseball glove', 'Punching bag', 'Personal flotation device', 'Scoreboard', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Dumbbell', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Indoor rower', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet', 'Billiard table']"
276,Fashion accessory,['Clothing'],[],"['Shorts', 'Dress', 'Swimwear', 'Brassiere', 'Tiara', 'Shirt', 'Coat', 'Suit', 'Hat', 'Scarf', 'Skirt', 'Jacket', 'Swim cap', 'Trousers', 'Footwear', 'Sports uniform', 'Luggage and bags', 'Helmet']"
277,Alarm clock,['Clock'],[],"['Digital clock', 'Wall clock']"
278,Filing cabinet,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Wine rack', 'Couch', 'Wardrobe', 'Nightstand', 'Bookcase', 'Bed', 'Table', 'Chest of drawers', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Bathroom cabinet', 'Closet']"
279,Artichoke,['Vegetable'],['Food'],"['Cucumber', 'Radish', 'Potato', 'Tomato', 'Garden Asparagus', 'Squash (Plant)', 'Cabbage', 'Carrot', 'Salad', 'Broccoli', 'Bell pepper', 'Winter melon']"
280,Table,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Wine rack', 'Couch', 'Wardrobe', 'Nightstand', 'Bookcase', 'Bed', 'Filing cabinet', 'Chest of drawers', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Bathroom cabinet', 'Closet']"
281,Tableware,['Kitchenware'],[],"['Kitchen utensil', 'Frying pan', 'Wok', 'Spice rack', 'Kitchen appliance']"
282,Kangaroo,['Mammal'],['Animal'],"['Bat (Animal)', 'Carnivore', 'Camel', 'Cattle', 'Giraffe', 'Rhinoceros', 'Goat', 'Horse', 'Hamster', 'Koala', 'Mouse', 'Pig', 'Rabbit', 'Squirrel', 'Sheep', 'Zebra', 'Monkey', 'Hippopotamus', 'Deer', 'Elephant', 'Porcupine', 'Hedgehog', 'Bull', 'Antelope', 'Mule', 'Marine mammal', 'Skunk', 'Alpaca', 'Armadillo']"
283,Koala,['Mammal'],['Animal'],"['Bat (Animal)', 'Carnivore', 'Camel', 'Cattle', 'Giraffe', 'Rhinoceros', 'Goat', 'Horse', 'Hamster', 'Kangaroo', 'Mouse', 'Pig', 'Rabbit', 'Squirrel', 'Sheep', 'Zebra', 'Monkey', 'Hippopotamus', 'Deer', 'Elephant', 'Porcupine', 'Hedgehog', 'Bull', 'Antelope', 'Mule', 'Marine mammal', 'Skunk', 'Alpaca', 'Armadillo']"
284,Knife,"['Kitchen utensil', 'Weapon']","['Kitchenware', 'Tool', 'Building']","['Chopsticks', 'Ladle', 'Spatula', 'Can opener', 'Cutting board', 'Whisk', 'Drinking straw', 'Bottle opener', 'Measuring cup', 'Pizza cutter', 'Spoon', 'Fork', 'Bow and arrow', 'Cannon', 'Dagger', 'Rifle', 'Shotgun', 'Tank', 'Axe', 'Handgun', 'Sword', 'Missile', 'Bomb']"
285,Bottle,"['Tableware', 'Container']","['Kitchenware', 'Tool', 'Building']","['Chopsticks', 'Teapot', 'Mug', 'Coffee cup', 'Salt and pepper shakers', 'Mixing bowl', 'Saucer', 'Cocktail shaker', 'Bowl', 'Plate', 'Pitcher (Container)', 'Kitchen knife', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand', 'Tin can', 'Barrel', 'Picnic basket', 'Waste container', 'Beaker', 'Flowerpot']"
286,Bottle opener,['Kitchen utensil'],"['Kitchenware', 'Tool', 'Building']","['Chopsticks', 'Ladle', 'Spatula', 'Can opener', 'Cutting board', 'Whisk', 'Drinking straw', 'Knife', 'Measuring cup', 'Pizza cutter', 'Spoon', 'Fork']"
287,Lynx,['Carnivore'],"['Mammal', 'Animal']","['Bear', 'Cat', 'Fox', 'Jaguar (Animal)', 'Red panda', 'Tiger', 'Lion', 'Dog', 'Leopard', 'Cheetah', 'Otter', 'Raccoon']"
288,Lavender (Plant),['Flower'],['Plant'],"['Rose', 'Common sunflower', 'Lily']"
289,Lighthouse,['Building'],[],"['Tree house', 'Skyscraper', 'Castle', 'Tower', 'House', 'Office building', 'Convenience store']"
290,Dumbbell,['Sports equipment'],['Building'],"['Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Roller skates', 'Flying disc', 'Baseball bat', 'Baseball glove', 'Punching bag', 'Golf ball', 'Personal flotation device', 'Scoreboard', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Indoor rower', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet', 'Billiard table']"
291,Human head,['Human body'],['Person'],"['Human eye', 'Skull', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human body', 'Auto part', 'Coconut']"
292,Bowl,['Tableware'],['Kitchenware'],"['Chopsticks', 'Teapot', 'Mug', 'Coffee cup', 'Salt and pepper shakers', 'Mixing bowl', 'Saucer', 'Cocktail shaker', 'Bottle', 'Plate', 'Pitcher (Container)', 'Kitchen knife', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand']"
293,Humidifier,['Home appliance'],[],"['Washing machine', 'Toaster', 'Oven', 'Blender', 'Gas stove', 'Mechanical fan', 'Heater', 'Kettle', 'Hair dryer', 'Refrigerator', 'Wood-burning stove', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Dishwasher', 'Sewing machine', 'Hand dryer', 'Ceiling fan']"
294,Porch,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
295,Lizard,['Reptile'],['Animal'],"['Dinosaur', 'Snake', 'Turtle', 'Crocodile', 'Frog']"
296,Billiard table,['Sports equipment'],['Building'],"['Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Roller skates', 'Flying disc', 'Baseball bat', 'Baseball glove', 'Punching bag', 'Golf ball', 'Personal flotation device', 'Scoreboard', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Dumbbell', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Indoor rower', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet']"
297,Mammal,['Animal'],[],"['Bird', 'Invertebrate', 'Reptile', 'Fish', 'Shellfish']"
298,Mouse,['Mammal'],['Animal'],"['Bat (Animal)', 'Carnivore', 'Camel', 'Cattle', 'Giraffe', 'Rhinoceros', 'Goat', 'Horse', 'Hamster', 'Kangaroo', 'Koala', 'Pig', 'Rabbit', 'Squirrel', 'Sheep', 'Zebra', 'Monkey', 'Hippopotamus', 'Deer', 'Elephant', 'Porcupine', 'Hedgehog', 'Bull', 'Antelope', 'Mule', 'Marine mammal', 'Skunk', 'Alpaca', 'Armadillo']"
299,Motorcycle,['Land vehicle'],['Vehicle'],"['Ambulance', 'Cart', 'Bicycle', 'Bus', 'Snowmobile', 'Golf cart', 'Segway', 'Tank', 'Train', 'Truck', 'Unicycle', 'Car', 'Taxi', 'Wheelchair']"
300,Musical instrument,['Building'],[],"['Medical equipment', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Musical keyboard', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
301,Swim cap,['Clothing'],[],"['Shorts', 'Dress', 'Swimwear', 'Brassiere', 'Tiara', 'Shirt', 'Coat', 'Suit', 'Hat', 'Scarf', 'Skirt', 'Jacket', 'Fashion accessory', 'Trousers', 'Footwear', 'Sports uniform', 'Luggage and bags', 'Helmet']"
302,Frying pan,['Kitchenware'],[],"['Kitchen utensil', 'Tableware', 'Wok', 'Spice rack', 'Kitchen appliance']"
303,Snowplow,['Tool'],['Building'],"['Container', 'Ladder', 'Toothbrush', 'Screwdriver', 'Drill (Tool)', 'Chainsaw', 'Wrench', 'Flashlight', 'Scissors', 'Ratchet (Device)', 'Kitchen utensil', 'Hammer', 'Scale', 'Nail (Construction)', 'Tripod', 'Torch', 'Chisel', 'Axe', 'Camera', 'Grinder', 'Ruler', 'Binoculars']"
304,Bathroom cabinet,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Wine rack', 'Couch', 'Wardrobe', 'Nightstand', 'Bookcase', 'Bed', 'Filing cabinet', 'Table', 'Chest of drawers', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Closet']"
305,Missile,['Weapon'],['Building'],"['Bow and arrow', 'Cannon', 'Dagger', 'Knife', 'Rifle', 'Shotgun', 'Tank', 'Axe', 'Handgun', 'Sword', 'Bomb']"
306,Bust,['Sculpture'],[],"['Snowman', 'Bronze sculpture']"
307,Man,['Person'],[],"['Woman', 'Boy', 'Girl']"
308,Waffle iron,['Kitchen appliance'],['Kitchenware'],"['Oven', 'Blender', 'Slow cooker', 'Food processor', 'Refrigerator', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Pressure cooker', 'Dishwasher']"
309,Milk,['Dairy Product'],['Food'],['Cheese']
310,Ring binder,['Office supplies'],[],"['Scissors', 'Poster', 'Calculator', 'Box', 'Stapler', 'Whiteboard', 'Pencil sharpener', 'Eraser', 'Fax', 'Adhesive tape', 'Pencil case', 'Plastic bag', 'Paper cutter', 'Toilet paper', 'Envelope', 'Pen']"
311,Plate,['Tableware'],['Kitchenware'],"['Chopsticks', 'Teapot', 'Mug', 'Coffee cup', 'Salt and pepper shakers', 'Mixing bowl', 'Saucer', 'Cocktail shaker', 'Bottle', 'Bowl', 'Pitcher (Container)', 'Kitchen knife', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand']"
312,Mobile phone,['Telephone'],['Building'],['Corded phone']
313,Baked goods,['Food'],[],"['Fast food', 'Waffle', 'Pancake', 'Burrito', 'Snack', 'Dessert', 'Guacamole', 'Fruit', 'Egg (Food)', 'Mushroom', 'Pasta', 'Pizza', 'Seafood', 'Taco', 'Cooking spray', 'Vegetable', 'Honeycomb', 'Sandwich', 'Dairy Product', 'Sushi']"
314,Mushroom,['Food'],[],"['Fast food', 'Waffle', 'Pancake', 'Burrito', 'Snack', 'Dessert', 'Guacamole', 'Fruit', 'Egg (Food)', 'Baked goods', 'Pasta', 'Pizza', 'Seafood', 'Taco', 'Cooking spray', 'Vegetable', 'Honeycomb', 'Sandwich', 'Dairy Product', 'Sushi']"
315,Crutch,['Personal care'],[],"['Toothbrush', 'Sunglasses', 'Goggles', 'Cream', 'Diaper', 'Glasses', 'Wheelchair']"
316,Pitcher (Container),['Tableware'],['Kitchenware'],"['Chopsticks', 'Teapot', 'Mug', 'Coffee cup', 'Salt and pepper shakers', 'Mixing bowl', 'Saucer', 'Cocktail shaker', 'Bottle', 'Bowl', 'Plate', 'Kitchen knife', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand']"
317,Mirror,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
318,Personal flotation device,['Sports equipment'],['Building'],"['Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Roller skates', 'Flying disc', 'Baseball bat', 'Baseball glove', 'Punching bag', 'Golf ball', 'Scoreboard', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Dumbbell', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Indoor rower', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet', 'Billiard table']"
319,Table tennis racket,['Racket'],"['Sports equipment', 'Building']",['Tennis racket']
320,Pencil case,['Office supplies'],[],"['Scissors', 'Poster', 'Calculator', 'Box', 'Stapler', 'Whiteboard', 'Pencil sharpener', 'Eraser', 'Fax', 'Adhesive tape', 'Ring binder', 'Plastic bag', 'Paper cutter', 'Toilet paper', 'Envelope', 'Pen']"
321,Musical keyboard,"['Musical instrument', 'Building']",['Building'],"['Organ (Musical Instrument)', 'Banjo', 'Cello', 'Drum', 'French horn', 'Guitar', 'Harp', 'Harpsichord', 'Harmonica', 'Oboe', 'Piano', 'Saxophone', 'Trombone', 'Trumpet', 'Violin', 'Chime', 'Flute', 'Accordion', 'Maracas', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control']"
322,Scoreboard,['Sports equipment'],['Building'],"['Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Roller skates', 'Flying disc', 'Baseball bat', 'Baseball glove', 'Punching bag', 'Golf ball', 'Personal flotation device', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Dumbbell', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Indoor rower', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet', 'Billiard table']"
323,Briefcase,['Luggage and bags'],['Clothing'],"['Backpack', 'Suitcase', 'Handbag']"
324,Kitchen knife,['Tableware'],['Kitchenware'],"['Chopsticks', 'Teapot', 'Mug', 'Coffee cup', 'Salt and pepper shakers', 'Mixing bowl', 'Saucer', 'Cocktail shaker', 'Bottle', 'Bowl', 'Plate', 'Pitcher (Container)', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand']"
325,Nail (Construction),['Tool'],['Building'],"['Container', 'Ladder', 'Toothbrush', 'Screwdriver', 'Drill (Tool)', 'Chainsaw', 'Wrench', 'Flashlight', 'Scissors', 'Ratchet (Device)', 'Kitchen utensil', 'Hammer', 'Scale', 'Snowplow', 'Tripod', 'Torch', 'Chisel', 'Axe', 'Camera', 'Grinder', 'Ruler', 'Binoculars']"
326,Tennis ball,['Ball'],"['Sports equipment', 'Building']","['Football', 'Cricket ball', 'Volleyball (Ball)', 'Rugby ball']"
327,Plastic bag,['Office supplies'],[],"['Scissors', 'Poster', 'Calculator', 'Box', 'Stapler', 'Whiteboard', 'Pencil sharpener', 'Eraser', 'Fax', 'Adhesive tape', 'Ring binder', 'Pencil case', 'Paper cutter', 'Toilet paper', 'Envelope', 'Pen']"
328,Oboe,['Musical instrument'],['Building'],"['Organ (Musical Instrument)', 'Banjo', 'Cello', 'Drum', 'French horn', 'Guitar', 'Harp', 'Harpsichord', 'Harmonica', 'Musical keyboard', 'Piano', 'Saxophone', 'Trombone', 'Trumpet', 'Violin', 'Chime', 'Flute', 'Accordion', 'Maracas']"
329,Chest of drawers,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Wine rack', 'Couch', 'Wardrobe', 'Nightstand', 'Bookcase', 'Bed', 'Filing cabinet', 'Table', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Bathroom cabinet', 'Closet']"
330,Ostrich,['Bird'],['Animal'],"['Magpie', 'Woodpecker', 'Blue jay', 'Penguin', 'Raven', 'Chicken', 'Eagle', 'Owl', 'Duck', 'Canary', 'Goose', 'Swan', 'Falcon', 'Parrot', 'Sparrow', 'Turkey']"
331,Piano,['Musical instrument'],['Building'],"['Organ (Musical Instrument)', 'Banjo', 'Cello', 'Drum', 'French horn', 'Guitar', 'Harp', 'Harpsichord', 'Harmonica', 'Musical keyboard', 'Oboe', 'Saxophone', 'Trombone', 'Trumpet', 'Violin', 'Chime', 'Flute', 'Accordion', 'Maracas']"
332,Girl,['Person'],[],"['Man', 'Woman', 'Boy']"
333,Plant,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
334,Potato,['Vegetable'],['Food'],"['Cucumber', 'Radish', 'Artichoke', 'Tomato', 'Garden Asparagus', 'Squash (Plant)', 'Cabbage', 'Carrot', 'Salad', 'Broccoli', 'Bell pepper', 'Winter melon']"
335,Hair spray,['Cosmetics'],[],"['Face powder', 'Lipstick', 'Perfume']"
336,Sports equipment,['Building'],[],"['Medical equipment', 'Musical instrument', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Musical keyboard', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
337,Pasta,['Food'],[],"['Fast food', 'Waffle', 'Pancake', 'Burrito', 'Snack', 'Dessert', 'Guacamole', 'Fruit', 'Egg (Food)', 'Baked goods', 'Mushroom', 'Pizza', 'Seafood', 'Taco', 'Cooking spray', 'Vegetable', 'Honeycomb', 'Sandwich', 'Dairy Product', 'Sushi']"
338,Penguin,['Bird'],['Animal'],"['Magpie', 'Woodpecker', 'Blue jay', 'Ostrich', 'Raven', 'Chicken', 'Eagle', 'Owl', 'Duck', 'Canary', 'Goose', 'Swan', 'Falcon', 'Parrot', 'Sparrow', 'Turkey']"
339,Pumpkin,['Squash (Plant)'],"['Vegetable', 'Food']",['Zucchini']
